Category,unique_models
Free Offers,99
"Boxes, Corrugated",69
Janitorial Supplies,68
Warehouse Equipment / Supplies,28
Facilities Maintenance,24
Labels,18
Markers / Stencils,18
Strapping,17
Gloves,16
Stretch Wrap,16
Office Supplies,14
Tape,12
Food Service and Packaging,10
Cleaners,10
Material Handling,10
Packing List Envelopes,8
Bubble Cushioning,7
Shelving and Storage,7
Carts,6
Bins and Totes,5
Envelopes and Mailers,5
"Cushioning, Peanuts and Foam",5
Packing Tables,4
Barcode Labels and Printers,4
Office Furniture,4
Mats,3
Safety Products,3
"Bags, Poly / Plastic",2
Store Operations,2
Workbenches and Packing Tables,2
3M Tape,1
Edge Protectors,1
Personal Protective Equipment,1
Shrink Wrap,1
